name,s1_name,s1_type,s1_price,s2_name,s2_type,s2_price,s3_name,s3_type,s3_price,s4_name,s4_type,s4_price,stickers_json
"P250 | X-Ray (Factory New)","Sticker | zont1x (Glitter, Champion) | Shanghai 2024","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | zont1x (Glitter, Champion) | Shanghai 2024"",""type"":""STICKER"",""price"":10}]"
"P90 | Chopper (Battle-Scarred)","Sticker | Tuurtle | Antwerp 2022","STICKER",10,"Sticker | Tuurtle | Antwerp 2022","STICKER",10,"Sticker | Vitality | 2020 RMR","STICKER",10,"Sticker | Vitality | 2020 RMR","STICKER",10,"[{""name"":""Sticker | Tuurtle | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Tuurtle | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Vitality | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Vitality | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | BLAST.tv | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"P90 | Chopper (Field-Tested)","Sticker | Legacy | Copenhagen 2024","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | Legacy | Copenhagen 2024"",""type"":""STICKER"",""price"":10}]"
"P90 | Chopper (Field-Tested)","Sticker | Natus Vincere | Antwerp 2022","STICKER",10,"Sticker | Natus Vincere | Antwerp 2022","STICKER",10,"Sticker | Natus Vincere | Antwerp 2022","STICKER",10,"Sticker | Natus Vincere | Antwerp 2022","STICKER",10,"[{""name"":""Sticker | Natus Vincere | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Natus Vincere | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Natus Vincere | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Natus Vincere | Antwerp 2022"",""type"":""STICKER"",""price"":10}]"
"PP-Bizon | Space Cat (Minimal Wear)","Sticker | Fluxo | Paris 2023","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | Fluxo | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"PP-Bizon | Space Cat (Minimal Wear)","Sticker | Ninjas in Pyjamas | 2020 RMR","STICKER",10,"Sticker | Ninjas in Pyjamas | 2020 RMR","STICKER",10,"Sticker | Ninjas in Pyjamas | 2020 RMR","STICKER",10,"","",,"[{""name"":""Sticker | Ninjas in Pyjamas | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Ninjas in Pyjamas | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Ninjas in Pyjamas | 2020 RMR"",""type"":""STICKER"",""price"":10}]"
"R8 Revolver | Amber Fade (Minimal Wear)","Sticker | 100 Thieves | 2020 RMR","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | 100 Thieves | 2020 RMR"",""type"":""STICKER"",""price"":10}]"
"Sawed-Off | Analog Input (Well-Worn)","Sticker | Djoko | Shanghai 2024","STICKER",10,"Sticker | ICY | Shanghai 2024","STICKER",10,"Sticker | aliStair | Shanghai 2024","STICKER",10,"Sticker | apEX | Shanghai 2024","STICKER",10,"[{""name"":""Sticker | Djoko | Shanghai 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | ICY | Shanghai 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | aliStair | Shanghai 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | apEX | Shanghai 2024"",""type"":""STICKER"",""price"":10}]"
"SSG 08 | Abyss (Minimal Wear)","Sticker | karrigan | Paris 2023","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | karrigan | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"SSG 08 | Abyss (Minimal Wear)","Sticker | chopper | Copenhagen 2024","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | chopper | Copenhagen 2024"",""type"":""STICKER"",""price"":10}]"
"SSG 08 | Fever Dream (Field-Tested)","Sticker | Ninjas in Pyjamas | 2020 RMR","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | Ninjas in Pyjamas | 2020 RMR"",""type"":""STICKER"",""price"":10}]"
"SSG 08 | Fever Dream (Field-Tested)","Sticker | apEX (Champion) | Austin 2025","STICKER",10,"Sticker | ropz (Champion) | Austin 2025","STICKER",10,"Sticker | FlameZ (Champion) | Austin 2025","STICKER",3.76,"","",,"[{""name"":""Sticker | apEX (Champion) | Austin 2025"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | ropz (Champion) | Austin 2025"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | FlameZ (Champion) | Austin 2025"",""type"":""STICKER"",""price"":3.76}]"
"SSG 08 | Fever Dream (Field-Tested)","Sticker | torzsi | Rio 2022","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | torzsi | Rio 2022"",""type"":""STICKER"",""price"":10}]"
"SSG 08 | Fever Dream (Field-Tested)","Sticker | The MongolZ | Paris 2023","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | The MongolZ | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"SSG 08 | Fever Dream (Field-Tested)","Sticker | Spinx (Champion) | Paris 2023","STICKER",10,"Sticker | Spinx (Champion) | Paris 2023","STICKER",10,"Sticker | Spinx (Champion) | Paris 2023","STICKER",10,"Sticker | Spinx (Champion) | Paris 2023","STICKER",10,"[{""name"":""Sticker | Spinx (Champion) | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Spinx (Champion) | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Spinx (Champion) | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Spinx (Champion) | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"SSG 08 | Fever Dream (Field-Tested)","Sticker | ESPADA | 2020 RMR","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | ESPADA | 2020 RMR"",""type"":""STICKER"",""price"":10}]"
"SSG 08 | Necropos (Minimal Wear)","Sticker | IHC Esports | Rio 2022","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | IHC Esports | Rio 2022"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ FAMAS | Survivor Z (Field-Tested)","Sticker | Team Spirit | Rio 2022","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | Team Spirit | Rio 2022"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ FAMAS | Survivor Z (Field-Tested)","Sticker | Bad News Eagles | Paris 2023","STICKER",10,"Sticker | Into The Breach | Paris 2023","STICKER",10,"Sticker | Bad News Eagles | Paris 2023","STICKER",10,"Sticker | Into The Breach | Paris 2023","STICKER",10,"[{""name"":""Sticker | Bad News Eagles | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Into The Breach | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Bad News Eagles | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Into The Breach | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Into The Breach | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ FAMAS | Survivor Z (Field-Tested)","Sticker | Fluxo | Paris 2023","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | Fluxo | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Five-SeveN | Flame Test (Minimal Wear)","Sticker | 9z Team | Rio 2022","STICKER",10,"Sticker | Monte | Paris 2023","STICKER",10,"Sticker | Choose Wisely","STICKER",10,"","",,"[{""name"":""Sticker | 9z Team | Rio 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Monte | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Choose Wisely"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Five-SeveN | Flame Test (Minimal Wear)","Sticker | History | Paris 2023","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | History | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Five-SeveN | Flame Test (Minimal Wear)","Sticker | FURIA | Paris 2023","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | FURIA | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Galil AR | Black Sand (Minimal Wear)","Sticker | ECSTATIC | Copenhagen 2024","STICKER",10,"Sticker | The MongolZ | Copenhagen 2024","STICKER",10,"","",,"","",,"[{""name"":""Sticker | ECSTATIC | Copenhagen 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | The MongolZ | Copenhagen 2024"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Galil AR | Black Sand (Minimal Wear)","Sticker | Bad News Eagles | Paris 2023","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | Bad News Eagles | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Galil AR | Vandal (Battle-Scarred)","Sticker | BLAST.tv | Paris 2023","STICKER",10,"Sticker | BLAST.tv | Paris 2023","STICKER",10,"","",,"","",,"[{""name"":""Sticker | BLAST.tv | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | BLAST.tv | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Glock-18 | Clear Polymer (Field-Tested)","Sticker | MOUZ | Shanghai 2024","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | MOUZ | Shanghai 2024"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Glock-18 | Clear Polymer (Field-Tested)","Sticker | FL1T | Copenhagen 2024","STICKER",10,"Sticker | JT | Copenhagen 2024","STICKER",10,"Sticker | hallzerk | Copenhagen 2024","STICKER",10,"Sticker | HooXi | Copenhagen 2024","STICKER",10,"[{""name"":""Sticker | FL1T | Copenhagen 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | JT | Copenhagen 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | hallzerk | Copenhagen 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | HooXi | Copenhagen 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | VINI | Copenhagen 2024"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Glock-18 | Clear Polymer (Field-Tested)","Sticker | Team Liquid | Austin 2025","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | Team Liquid | Austin 2025"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Glock-18 | Clear Polymer (Field-Tested)","Sticker | Cloud9 | Antwerp 2022","STICKER",10,"Sticker | Cloud9 | Antwerp 2022","STICKER",10,"Sticker | Cloud9 | Antwerp 2022","STICKER",10,"","",,"[{""name"":""Sticker | Cloud9 | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Cloud9 | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Cloud9 | Antwerp 2022"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Glock-18 | Ironwork (Field-Tested)","Sticker | FURIA | 2020 RMR","STICKER",10,"Sticker | MIBR | Antwerp 2022","STICKER",10,"Sticker | PGL | Antwerp 2022","STICKER",10,"Sticker | forZe eSports | Antwerp 2022","STICKER",10,"[{""name"":""Sticker | FURIA | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | MIBR | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | PGL | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | forZe eSports | Antwerp 2022"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Glock-18 | Ironwork (Field-Tested)","Sticker | Lekr0 | Berlin 2019","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | Lekr0 | Berlin 2019"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Glock-18 | Ironwork (Field-Tested)","Sticker | FURIA | Paris 2023","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | FURIA | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ Glock-18 | Ironwork (Field-Tested)","Sticker | Complexity Gaming | Paris 2023","STICKER",10,"Sticker | Complexity Gaming | Paris 2023","STICKER",10,"Sticker | Complexity Gaming | Paris 2023","STICKER",10,"Sticker | Complexity Gaming | Paris 2023","STICKER",10,"[{""name"":""Sticker | Complexity Gaming | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Complexity Gaming | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Complexity Gaming | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Complexity Gaming | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Complexity Gaming | Paris 2023"",""type"":""STICKER"",""price"":10}]"
